f (GHz),theta (deg.),phi (deg.),gain (dBi),directivity (dBi)
1.9800000000000002,112.0,-176.0,0.35199811088024,0.5835450362408887
1.9800000000000002,114.00000000000001,-176.0,0.35492854997717993,0.5884031395549922
1.9800000000000002,116.00000000000001,-176.0,0.36205087123214463,0.6002105756928008
1.9800000000000002,118.00000000000001,-176.0,0.37461586838258315,0.6210409196374986
1.9800000000000002,119.99999999999999,-176.0,0.3926584014541222,0.6509519625938934
1.9800000000000002,122.0,-176.0,0.41499071512763064,0.6879746351285885
1.9800000000000002,124.0,-176.0,0.4395823804445977,0.7287428773010464
1.9800000000000002,126.0,-176.0,0.4640648547146271,0.7693301017592813
1.9800000000000002,128.0,-176.0,0.4861366909734445,0.8059209529355725
1.9800000000000002,130.0,-176.0,0.5037993544431473,0.8352022452946815
1.9800000000000002,132.0,-176.0,0.5154567303055976,0.8545279280465462
1.9800000000000002,134.0,-176.0,0.5199380061923872,0.8619570199050866
1.9800000000000002,136.0,-176.0,0.5164938664883187,0.8562472999767513
1.9800000000000002,138.0,-176.0,0.504799850565946,0.8368608750662374
1.9800000000000002,140.0,-176.0,0.4849888288224156,0.8040180186872987
1.9800000000000002,142.0,-176.0,0.45772935538291604,0.7588270647461499
1.9800000000000002,144.0,-176.0,0.424369325215885,0.7035225633551169
1.9800000000000002,146.0,-176.0,0.38717333595212566,0.6418587809880546
1.9800000000000002,148.0,-176.0,0.34967785555262293,0.5796985000312012
1.9800000000000002,150.0,-176.0,0.31708099473208307,0.5256591863505296
1.9800000000000002,152.0,-176.0,0.29614817343259436,0.4909566024835663
1.9800000000000002,154.0,-176.0,0.293436792934272,0.48646165611240616
1.9800000000000002,156.0,-176.0,0.31171557187306703,0.516764349191084
1.9800000000000002,158.0,-176.0,0.3482064247779126,0.5772591513579737
1.9800000000000002,160.0,-176.0,0.39702739979801505,0.6581949199226922
1.9800000000000002,162.0,-176.0,0.45235936786093783,0.7499246602551438
1.9800000000000002,164.0,-176.0,0.5096982011503671,0.8449813964013053
1.9800000000000002,166.0,-176.0,0.5658346544934619,0.9380448183003978
1.9800000000000002,168.0,-176.0,0.6185287613258122,1.0254014930401294
1.9800000000000002,170.0,-176.0,0.666220437975979,1.1044651025283034
1.9800000000000002,172.0,-176.0,0.7078190934195123,1.173427657008114
1.9800000000000002,174.0,-176.0,0.7425519973582584,1.2310081185537802
1.9800000000000002,176.0,-176.0,0.7698545207639589,1.2762704410429708
1.9800000000000002,178.0,-176.0,0.7892965386963919,1.3085015602117822
1.9800000000000002,180.0,-176.0,0.8005454170754477,1.3271500328554575
1.9800000000000002,0.0,-174.0,2.055469929810506,3.407573045445745
1.9800000000000002,2.0,-174.0,2.0610436463826525,3.4168131934424384
1.9800000000000002,4.0,-174.0,2.0564041267711524,3.409121763982596
1.9800000000000002,6.000000000000001,-174.0,2.0418510330764286,3.384995539082502
1.9800000000000002,8.0,-174.0,2.0176181704060236,3.3448221225551817
1.9800000000000002,10.0,-174.0,1.9838472054487708,3.2888363704709196
1.9800000000000002,12.000000000000002,-174.0,1.94058544587637,3.2171167098329954
1.9800000000000002,14.0,-174.0,1.887813071320336,3.1296302822899333
1.9800000000000002,16.0,-174.0,1.8254994530958097,3.0263263113845222
1.9800000000000002,18.0,-174.0,1.7536817013799713,2.907266318639229
1.9800000000000002,20.0,-174.0,1.6725532358544317,2.772770956613335
1.9800000000000002,22.0,-174.0,1.5825472490242234,2.623558375002065
