f (GHz),S11 (dB),S11 (deg.)
1483600000.0,-11.533183495879083,96.42065575551328
1485300000.0,-11.459603449897909,94.01405855821552
1487000000.0,-11.38504242642956,91.67845652423176
1488700000.0,-11.309837747557868,89.4122554115799
1490400000.0,-11.234292204473654,87.21372285094291
1492100000.0,-11.15867561658892,85.08102232299773
1493800000.0,-11.083226689676858,83.0122428819725
1495500000.0,-11.008155065791993,81.00542484112806
1497200000.0,-10.933643477016574,79.05858170621936
1498900000.0,-10.859849932807482,77.16971868362685
1500600000.0,-10.786909886461213,75.33684810748935
1502300000.0,-10.714938339802746,73.55800213074343
1504000000.0,-10.644031856646475,71.83124301347138
1505700000.0,-10.574270464996866,70.15467132242236
1507400000.0,-10.505719435544957,68.52643233117152
1509100000.0,-10.438430929997613,66.94472088351532
1510800000.0,-10.37244551738167,65.40778495512416
1512500000.0,-10.307793559917659,63.91392812141225
1514200000.0,-10.244496472563752,62.46151111385915
1515900000.0,-10.182567862072311,61.04895262312699
1517600000.0,-10.122014552537395,59.67472948553048
1519300000.0,-10.062837505075752,58.337376369834
1521000000.0,-10.005032639587698,57.03548506395362
1522700000.0,-9.948591566578706,55.76770344583926
1524400000.0,-9.893502236861686,54.53273420945936
1526100000.0,-9.83974951666119,53.32933340524673
1527800000.0,-9.787315695250772,52.15630884440459
1529500000.0,-9.736180931808004,51.012518407947034
1531200000.0,-9.686323647695398,49.8968682940822
1532900000.0,-9.637720869889124,48.80831123138434
1534600000.0,-9.590348530796145,47.74584467999472
1536300000.0,-9.544181729233376,46.70850903871172
1538000000.0,-9.49919495689776,45.69538587215829
1539700000.0,-9.455362294237165,44.70559616915071
1541400000.0,-9.412657579241696,43.73829864084231
1543100000.0,-9.37105455231444,42.79268806510466
1544800000.0,-9.33052698004948,41.867993681867105
1546500000.0,-9.291048760442905,40.96347764270609
1548200000.0,-9.252594011788162,40.07843351680952
1549900000.0,-9.215137147258664,39.21218485449415
1551600000.0,-9.17865293695688,38.36408380869174
1553300000.0,-9.143116559007868,37.533509814211456
1555000000.0,-9.108503641094817,36.71986832410348
1556700000.0,-9.07479029367296,35.92258960207536
1558400000.0,-9.041953135953996,35.141127569623585
1560100000.0,-9.009969315624916,34.37495870632851
1561800000.0,-8.978816523150929,33.62358100160429
1563500000.0,-8.948473001410523,32.8865129560877
1565200000.0,-8.918917551320785,32.163292630781584
1566900000.0,-8.890129534031079,31.453476742032187
1568600000.0,-8.862088870192547,30.756639800408347
1570300000.0,-8.834776036748181,30.072373291560336
1572000000.0,-8.808172061632945,29.40028489716056
1573700000.0,-8.782258516724449,28.7399977540672
1575400000.0,-8.75701750934162,28.091149749897454
1577100000.0,-8.732431672550476,27.453392853252794
1578800000.0,-8.708484154502859,26.826392476896086
1580500000.0,-8.685158607004091,26.209826872244474
1582200000.0,-8.662439173479697,25.603386553605528
1583900000.0,-8.640310476488231,25.006773750650158
1585600000.0,-8.61875760490728,24.419701887681942
1587300000.0,-8.597766100901861,23.84189508832732
1589000000.0,-8.577321946768956,23.27308770433611
1590700000.0,-8.557411551738364,22.713023867244345
1592400000.0,-8.538021738797925,22.16145706171294
1594100000.0,-8.519139731600939,21.61814971941498
1595800000.0,-8.500753141504251,21.082872832401584
1597500000.0,-8.482849954777635,20.55540558493166
1599200000.0,-8.465418520018051,20.035535002802995
1600900000.0,-8.448447535796335,19.52305561927356
1602600000.0,-8.431926038558492,19.017769156709193
1604300000.0,-8.415843390799347,18.519484223140303
1606000000.0,-8.400189269522151,18.028016022953853
1607700000.0,-8.384953654994439,17.543186080988317
1609400000.0,-8.370126819807348,17.064821979338763
1611100000.0,-8.355699318243191,16.592757106216617
1612800000.0,-8.341661975953755,16.126830416244232
1614500000.0,-8.32800587995001,15.666886201597535
1616200000.0,-8.314722368902306,15.212773873442167
1617900000.0,-8.301803023748759,14.764347753138251
1619600000.0,-8.289239658608453,14.321466872717505
1621300000.0,-8.277024311995088,13.883994784162887
1623000000.0,-8.265149238325932,13.451799377046578
1624700000.0,-8.253606899720333,13.024752704105886
1626400000.0,-8.242389958081471,12.602730814359017
1628100000.0,-8.23149126745469,12.185613593384273
1629800000.0,-8.22090386665535,11.773284610405998
1631500000.0,-8.210620972158972,11.365630971849688
1633200000.0,-8.20063597124626,10.962543181046607
1634900000.0,-8.190942415395474,10.5639150037849
1636600000.0,-8.18153401391453,10.169643339420194
1638300000.0,-8.172404627805282,9.779628097273795
1640000000.0,-8.163548263852373,9.393772078060469
1641700000.0,-8.154959068929134,9.011980860101243
1643400000.0,-8.146631324513091,8.634162690089447
1645100000.0,-8.138559441403752,8.260228378189414
1646800000.0,-8.130737954635407,7.890091197259498
1648500000.0,-8.123161518577884,7.523666786000313
1650200000.0,-8.115824902218305,7.160873055840259
1651900000.0,-8.108722984617016,6.801630101378853
1653600000.0,-8.101850750531124,6.445860114217802
1655300000.0,-8.095203286199077,6.093487300017633
1657000000.0,-8.088775775280062,5.744437798626043
1658700000.0,-8.082563494942072,5.39863960713099
1660400000.0,-8.076561812092633,5.05602250569901
1662100000.0,-8.070766179746464,4.716517986065427
1663800000.0,-8.065172133524408,4.380059182549681
